offer_id,url,title,author,price,old_price,currency,image_url,category,category_id,description,genre,rating,reviews_count,views_count,published_at,availability,is_new,is_popular,is_cheap,feed_group,priority,source,errors
722,https://rcbooks.com/product/legenda-ivy-teplo-tvoei-dushi-1-2,Легенда Ивы: Тепло твоей души. [Гл. 1-2] - RC Books,,1,,SAPPHIRE,https://rcbooks.com/wp-content/uploads/2024/11/li_teplo-td.jpg,Книги,1,"Небольшая по цене история, с которой легко вернуться к чтению.",,,117,,2024-10-23,true,false,false,true,cheap,50,auto,
1037,https://rcbooks.com/product/legenda-ivy-teplo-tvoej-dushi-epub,Книга Легенда Ивы Тепло твоей души — читать онлайн на сайте RC Books,,49,,SAPPHIRE,https://rcbooks.com/wp-content/uploads/2024/11/li_teplo-td.jpg,Книги,1,"Откройте карточку книги и посмотрите, станет ли эта история вашей следующей.",,,144,,2024-11-22,true,false,false,false,default,50,auto,
56446,https://rcbooks.com/product/lisya-busina-text,Книга Эдемов сад Лисья бусина — читать онлайн на сайте RC Books,,199,,SAPPHIRE,https://rcbooks.com/wp-content/uploads/2025/08/cover2.jpg,Книги,1,"Откройте карточку книги и посмотрите, станет ли эта история вашей следующей.",,,21,,2025-08-26,true,false,false,false,default,50,auto,
47003,https://rcbooks.com/product/pesn-o-krasnom-nile-pod-tenju-zmeya,Аудиокнига Песнь о Красном Ниле Под тенью Змея — слушать онлайн на сайте RC Books,,399,,SAPPHIRE,https://rcbooks.com/wp-content/uploads/2025/06/pokn_ptz_pryamoug.jpg,Книги,1,"Откройте карточку книги и посмотрите, станет ли эта история вашей следующей.",,,63,,2025-06-06,true,false,false,false,default,50,auto,
42147,https://rcbooks.com/product/pesn-o-krasnom-nile-zabytye-kniga-1-zov-proshlogo,Книга Песнь о Красном Ниле Забытые Книга 1 Зов прошлого — читать онлайн на сайте RC Books,,199,,SAPPHIRE,https://rcbooks.com/wp-content/uploads/2025/04/pokn_zabytye1_pryamoug18-1.jpg,Книги,1,"Откройте карточку книги и посмотрите, станет ли эта история вашей следующей.",,,65,,2025-04-27,true,false,false,false,default,50,auto,
54091,https://rcbooks.com/product/pesn-o-krasnom-nile-zabytye-kniga-1-zov-proshlogo-audio,Песнь о Красном Ниле: Забытые. Книга 1: Зов прошлого. [Гл. 1-11 из 11] - RC Books,,299,,SAPPHIRE,https://rcbooks.com/wp-content/uploads/2025/04/pokn_zabytye1_pryamoug18-1.jpg,Книги,1,"Откройте карточку книги и посмотрите, станет ли эта история вашей следующей.",,,13,,2025-06-08,true,false,false,false,default,50,auto,
60971,https://rcbooks.com/product/pesn-o-krasnom-nile-zabytye-kniga-2-echo-buduchego-audio,Песнь о Красном Ниле: Забытые. Книга 2: Эхо Будущего. [Гл. 1-9 из 9] - RC Books,,299,,SAPPHIRE,https://rcbooks.com/wp-content/uploads/2025/07/pokn_zabytye2_pryamougs18-copy.png,Книги,1,"Откройте карточку книги и посмотрите, станет ли эта история вашей следующей.",,,7,,2025-10-29,true,false,false,false,default,50,auto,
53401,https://rcbooks.com/product/pesn-o-krasnom-nile-zabytye-kniga-2-echo-buduschego,Книга Песнь о Красном Ниле Забытые Книга 2 Эхо Будущего — читать онлайн на сайте RC Books,,199,,SAPPHIRE,https://rcbooks.com/wp-content/uploads/2025/07/pokn_zabytye2_pryamougs18-copy.png,Книги,1,"Откройте карточку книги и посмотрите, станет ли эта история вашей следующей.",,,22,,2025-07-28,true,false,false,false,default,50,auto,
63160,https://rcbooks.com/product/psi-postskriptum-audiobook,Пси: Постскриптум [Гл. 1-15 из 15] - RC Books,,399,,SAPPHIRE,https://rcbooks.com/wp-content/uploads/2025/04/psi_postskriptum_pryamougsoczseti.png,Книги,1,"Откройте карточку книги и посмотрите, станет ли эта история вашей следующей.",,,17,,2025-11-26,true,false,false,false,default,50,auto,
41111,https://rcbooks.com/product/psy-ps-chapters-1-12,Книга Пси Постскриптум — читать онлайн на сайте RC Books,,199,,SAPPHIRE,https://rcbooks.com/wp-content/uploads/2025/04/psi_postskriptum_pryamougsoczseti.png,Книги,1,"Откройте карточку книги и посмотрите, станет ли эта история вашей следующей.",,,96,,2025-04-18,true,false,false,false,default,50,auto,
